,BAA,Total BAA Gen MWh,Fuel Type,Fuel Type Gen MWh,Fuel Type Gen %
0,AEC,5654572.9,Coal,1470743.5,0.26009807
1,AEC,5654572.9,Gas,4125416.58,0.729571738
2,AEC,5654572.9,Hydro,19831,0.003507073
3,AEC,5654572.9,Other Fossil,38581.82,0.006823118
4,AECI,21343404,Coal,13870859.2,0.649889736
5,AECI,21343404,Gas,6013057.472,0.281729075
6,AECI,21343404,Hydro,39611,0.00185589
7,AECI,21343404,Other Fossil,23519.326,0.001101948
8,AECI,21343404,Other Renew,46165,0.002162963
9,AECI,21343404,Wind,1350192,0.063260387
10,AVA,7537467.996,Gas,1441433.961,0.191235832
11,AVA,7537467.996,Hydro,4884693,0.648054891
12,AVA,7537467.996,Other Fossil,133637.604,0.017729774
13,AVA,7537467.996,Other Renew,727932.431,0.096575194
14,AVA,7537467.996,Wind,349771,0.04640431
15,AZPS,14740130.3,Coal,9263369.8,0.628445584
16,AZPS,14740130.3,Gas,3182025.08,0.215874963
17,AZPS,14740130.3,Other Fossil,42700.409,0.002896881
18,AZPS,14740130.3,Other Renew,176135.7,0.011949399
19,AZPS,14740130.3,Solar,1712422.31,0.116174164
20,AZPS,14740130.3,Wind,363477,0.024659009
21,BANC,9280280.995,Gas,6968536.743,0.750897171
22,BANC,9280280.995,Hydro,1904456,0.205215338
23,BANC,9280280.995,Other Fossil,55447.284,0.005974742
24,BANC,9280280.995,Other Renew,98733.968,0.010639114
25,BANC,9280280.995,Solar,253107,0.027273635
26,BPAT,121565670.1,Coal,6445037.589,0.053016921
27,BPAT,121565670.1,Gas,13387657.29,0.110126957
28,BPAT,121565670.1,Geo,71995,0.000592231
29,BPAT,121565670.1,Hydro,78154174.24,0.64289675
30,BPAT,121565670.1,Nuclear,9625622,0.07918043
31,BPAT,121565670.1,Other Fossil,429470.004,0.003532823
32,BPAT,121565670.1,Other Renew,1189509.022,0.009784909
33,BPAT,121565670.1,Solar,9439,7.76E-05
34,BPAT,121565670.1,Wind,12252766,0.100791333
35,CA,312841,Solar,312841,1
36,CHPD,9178393,Hydro,9178393,1
37,CISO,168492870.1,Coal,318875.815,0.001892518
38,CISO,168492870.1,Gas,79740734.54,0.473258806
39,CISO,168492870.1,Geo,8312055,0.049331791
40,CISO,168492870.1,Hydro,21978765.49,0.130443297
41,CISO,168492870.1,Nuclear,18907578,0.112215894
42,CISO,168492870.1,Other Fossil,3394576.562,0.020146707
43,CISO,168492870.1,Other Renew,2732659.112,0.016218248
44,CISO,168492870.1,Solar,19806370.46,0.117550199
45,CISO,168492870.1,Wind,13301255.13,0.07894254
46,CPLE,62577086.08,Coal,11874335.02,0.18975532
47,CPLE,62577086.08,Gas,16643170.94,0.265962703
48,CPLE,62577086.08,Hydro,500860,0.008003888
