,BAA,EIA_Net_Gen,EIA_Interchange,EIA_Demand,Calc_Demand,Demand_Percent_Diff,Net Gen - Demand
0,AEC,5638528.0,1108039.0,4530489.0,4530489.0,0.0,1108039.0
1,AECI,21095979.0,1511604.0,19584148.0,19584375.0,1.1591007175848489e-05,1511831.0
2,AVA,6626418.0,-4982616.0,11609034.0,11609034.0,0.0,-4982616.0
3,AZPS,50877265.0,19579353.0,31277721.009999998,31297912.0,0.0006455390401860495,19599543.990000002
4,BANC,13048108.0,-4353473.0,17401558.0,17401581.0,1.321720733304943e-06,-4353450.0
5,BPAT,112888538.0,58981125.0,53784729.0,53907413.0,0.0022810192090025883,59103809.0
6,CHPD,9122299.0,7425633.0,1696858.0,1696666.0,-0.00011315030485758992,7425441.0
7,CISO,163069219.0,-63162146.0,226231077.0,226231365.0,1.2730346503619927e-06,-63161858.0
8,CPLE,65404436.0,4226470.0,61177605.0,61177966.0,5.9008521173797845e-06,4226831.0
9,CPLW,1763668.0,-3183515.0,4946481.0,4947183.0,0.00014191907337757215,-3182813.0
10,DOPD,3969505.0,2599999.0,1369506.0,1369506.0,0.0,2599999.0
11,DUK,105816386.0,1368656.0,104447723.0,104447730.0,6.70191728779912e-08,1368663.0
12,EPE,3791082.0,-4596486.0,8377302.0,8387568.0,0.0012254542094818355,-4586220.0
13,ERCO,348296609.0,829196.0,347474810.0,347467413.0,-2.1287874076403313e-05,821799.0
14,FMPP,16646312.0,-934935.0,17593867.0,17581247.0,-0.0007172954075417293,-947555.0
15,FPC,39662367.0,-13584409.0,53231984.0,53246776.0,0.00027787805166146207,-13569617.0
16,FPL,119874917.0,-4972296.0,124837409.0,124847213.0,7.853415156988675e-05,-4962492.0
17,GCPD,10167397.0,5442988.0,4732888.0,4724409.0,-0.0017915065811825448,5434509.0
18,GVL,1600132.0,-463026.0,2051875.0,2063158.0,0.005498872982028669,-451743.0
19,HST,6556.0,-526589.0,533423.0,533145.0,-0.000521162379574891,-526867.0
20,IID,5635186.0,2012695.0,3623882.0,3622491.0,-0.0003838425202586926,2011304.0
21,IPCO,11480907.0,-5324982.0,16806090.0,16805889.0,-1.1959950232287575e-05,-5325183.0
22,ISNE,104724575.0,-20440949.0,125165524.0,125165524.0,0.0,-20440949.0
23,JEA,13604376.0,218129.0,13429540.0,13386247.0,-0.003223714289543822,174836.0
24,LDWP,22990797.0,-4743830.0,28449484.0,27734627.0,-0.02512723956610252,-5458687.0
25,LGEE,38138679.0,1757759.0,36330086.0,36380920.0,0.001399225974857421,1808593.0
26,MISO,613218513.0,-43563805.0,649719349.0,656782318.0,0.010870799847458423,-36500836.0
27,NEVP,30272561.0,-6006804.0,36321275.0,36279365.0,-0.0011538691854842131,-6048714.0
28,NSB,0.0,-426960.0,424900.0,426960.0,0.0048481995763709484,-424900.0
29,NWMT,19468653.0,8446892.0,11021761.0,11021761.0,0.0,8446892.0
30,NYIS,135465708.0,-24883037.0,160348745.0,160348745.0,0.0,-24883037.0
31,OVEC,6752848.0,6304601.0,449857.0,448247.0,-0.0035789150774580003,6302991.0
32,PACE,39349736.0,570326.0,37670216.0,38779410.0,0.02944485372741168,1679520.0
33,PACW,27060468.0,-2789520.0,29274513.0,29849988.0,0.019657884658918157,-2214045.0
34,PGE,6130557.0,-14393785.0,20163772.0,20524342.0,0.017882070874437606,-14033215.0
35,PJM,814187789.0,9153733.0,805034167.0,805034056.0,-1.3788234654033005e-07,9153622.0
36,PNM,16544985.0,2174540.0,14370445.0,14370445.0,0.0,2174540.0
37,PSCO,37963498.0,-5219502.0,43185044.0,43183000.0,-4.7331201051936667e-05,-5221546.0
38,PSEI,15452696.0,-13958132.0,29293086.0,29410828.0,0.004019446773207758,-13840390.0
39,SC,18221184.0,-6561498.0,24782682.0,24782682.0,0.0,-6561498.0
40,SCEG,26753754.0,2200674.0,24560002.0,24553080.0,-0.0002818403679283321,2193752.0
41,SCL,6926873.0,-2488023.0,9545505.0,9414896.0,-0.013682775295806748,-2618632.0
42,SEC,36948016808.0,9816361.0,1193039.0,36938200447.0,30960.43583487212,36946823769.0
43,SOCO,240225728.0,9459382.0,230766346.0,230766346.0,0.0,9459382.0
44,SPA,6404989.0,5769818.0,635171.0,635171.0,0.0,5769818.0
45,SRP,29798929.0,403093.0,29395836.0,29395836.0,0.0,403093.0
46,SWPP,259916607.0,1902289.0,258014315.0,258014318.0,1.162726182002416e-08,1902292.0
47,TAL,2585231.0,-195020.0,2777203.0,2780251.0,0.0010975070961682931,-191972.0
48,TEC,22696246.0,1190575.0,21505671.0,21505671.0,0.0,1190575.0
49,TEPC,8688459.0,-5353230.0,14037946.0,14041689.0,0.00026663444922792046,-5349487.0
50,TIDC,1554272.0,-1054158.0,2580980.0,2608430.0,0.010635495044517995,-1026708.0
51,TPWR,3134033.0,-1648096.0,4782197.0,4782129.0,-1.4219405850446343e-05,-1648164.0
52,TVA,161673342.0,1802252.0,159871090.0,159871090.0,0.0,1802252.0
53,WACM,37757330.0,13265268.0,24737399.0,24492062.0,-0.009917655449548257,13019931.0
54,WALC,7160028.0,-1572576.0,8731786.0,8732604.0,9.368072007265305e-05,-1571758.0
55,WAUW,372527.0,-309110.0,644865.0,681637.0,0.05702278771525826,-272338.0
