,Dest BAA,Fuel Type,BAA_Fuel_%
0,AEC,Coal,0.2600980702600981
1,AEC,Gas,0.7295717387295718
2,AEC,Geo,0.0
3,AEC,Hydro,0.0035070730035070734
4,AEC,Nuclear,0.0
5,AEC,Other Fossil,0.006823118006823119
6,AEC,Other Renew,0.0
7,AEC,Solar,0.0
8,AEC,Wind,0.0
9,AECI,Coal,0.6164490634555634
10,AECI,Gas,0.2638521126730715
11,AECI,Geo,3.3639665156474206e-10
12,AECI,Hydro,0.03586729094425983
13,AECI,Nuclear,0.0035411304976921236
14,AECI,Other Fossil,0.0012346448129728746
15,AECI,Other Renew,0.004416048092163743
16,AECI,Solar,0.00023467686247444743
17,AECI,Wind,0.07440503232540674
18,AVA,Coal,0.04391493069770484
19,AVA,Gas,0.15562317204564316
20,AVA,Geo,0.0001378533979628594
21,AVA,Hydro,0.6385671602485863
22,AVA,Nuclear,0.018430800359421122
23,AVA,Other Fossil,0.014619450522702701
24,AVA,Other Renew,0.06913196536514295
25,AVA,Solar,1.8147231346823355e-05
26,AVA,Wind,0.059556520131489245
27,AZPS,Coal,0.5742667310244524
28,AZPS,Gas,0.28296501734169616
29,AZPS,Geo,0.0017042734349428871
30,AZPS,Hydro,0.005267416483392574
31,AZPS,Nuclear,0.00013577953480272363
32,AZPS,Other Fossil,0.003211876995153566
33,AZPS,Other Renew,0.010196771634704878
34,AZPS,Solar,0.09736508886392095
35,AZPS,Wind,0.024887044686935072
36,BANC,Coal,0.02282161072222485
37,BANC,Gas,0.5339067724627065
38,BANC,Geo,0.0001585043272609046
39,BANC,Hydro,0.3574445372695745
40,BANC,Nuclear,0.02119179980341986
41,BANC,Other Fossil,0.005531535191556567
42,BANC,Other Renew,0.011965242986957295
43,BANC,Solar,0.018309920147410553
44,BANC,Wind,0.028670077088889436
45,BCHA,Coal,0.0
46,BCHA,Gas,0.0
47,BCHA,Geo,0.0
48,BCHA,Hydro,0.0
49,BCHA,Nuclear,0.0
50,BCHA,Other Fossil,0.0
51,BCHA,Other Renew,0.0
52,BCHA,Solar,0.0
53,BCHA,Wind,0.0
54,BPAT,Coal,0.06927738849506102
55,BPAT,Gas,0.09220009995905096
56,BPAT,Geo,0.0004811564788942942
57,BPAT,Hydro,0.6673230089462971
58,BPAT,Nuclear,0.06432992682945698
59,BPAT,Other Fossil,0.0046293413345557055
60,BPAT,Other Renew,0.014664717369640045
61,BPAT,Solar,6.334017199104645e-05
62,BPAT,Wind,0.0870310204150529
63,CHPD,Coal,0.0
64,CHPD,Gas,0.0
65,CHPD,Geo,0.0
66,CHPD,Hydro,1.0
67,CHPD,Nuclear,0.0
68,CHPD,Other Fossil,0.0
69,CHPD,Other Renew,0.0
70,CHPD,Solar,0.0
71,CHPD,Wind,0.0
72,CISO,Coal,0.04893125913111361
73,CISO,Gas,0.422604662251417
74,CISO,Geo,0.04296921712230038
75,CISO,Hydro,0.171650916872551
76,CISO,Nuclear,0.11355948007841662
77,CISO,Other Fossil,0.016450692950552875
78,CISO,Other Renew,0.015071250018132804
79,CISO,Solar,0.09796602998181239
80,CISO,Wind,0.07079649159370287
81,CPLE,Coal,0.19205438279507553
82,CPLE,Gas,0.2665867773468023
83,CPLE,Geo,7.23142883922402e-16
84,CPLE,Hydro,0.008322467639843952
85,CPLE,Nuclear,0.46678634396790253
86,CPLE,Other Fossil,0.015460975934971241
87,CPLE,Other Renew,0.030259715072213058
88,CPLE,Solar,0.020528640158058227
89,CPLE,Wind,6.970851327539293e-07
90,CPLW,Coal,0.27584061669610377
91,CPLW,Gas,0.2424071600179061
92,CPLW,Geo,6.208705649149119e-13
93,CPLW,Hydro,0.024565022851806294
94,CPLW,Nuclear,0.4301159308384576
95,CPLW,Other Fossil,0.01214627997096708
96,CPLW,Other Renew,-0.0007689856292908834
97,CPLW,Solar,0.006677220723099831
98,CPLW,Wind,0.009016754530329778
99,DEAA,Coal,0.0
100,DEAA,Gas,0.0
101,DEAA,Geo,0.0
102,DEAA,Hydro,0.0
103,DEAA,Nuclear,0.0
104,DEAA,Other Fossil,0.0
105,DEAA,Other Renew,0.0
106,DEAA,Solar,0.0
107,DEAA,Wind,0.0
108,DOPD,Coal,0.0
109,DOPD,Gas,0.0
110,DOPD,Geo,0.0
111,DOPD,Hydro,1.0
112,DOPD,Nuclear,0.0
113,DOPD,Other Fossil,0.0
