,AEC,AECI,AVA,AZPS,BANC,BCHA,BPAT,CHPD,CISO,CPLE,CPLW,DEAA,DOPD,DUK,EEI,EPE,ERCO,FMPP,FPC,FPL,GCPD,GRID,GRIF,GRIS,GRMA,GVL,GWA,HGMA,HQT,HST,IESO,IID,IPCO,ISNE,JEA,LDWP,LGEE,MHEB,MISO,NBSO,NEVP,NEWL,NSB,NWMT,NYIS,OVEC,PACE,PACW,PGE,PJM,PNM,PSCO,PSEI,SC,SCEG,SCL,SEC,SEPA,SOCO,SPA,SRP,SWPP,TAL,TEC,TEPC,TIDC,TPWR,TVA,WACM,WALC,WAUE,WAUW,WWA,YAD
AEC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.170836119253877e-06,4.447589191603668e-06,0.0,0.0,1.143522281929041e-05,5.3637609859718556e-06,0.0,0.0,9.749569834508677e-06,7.778919652390279e-05,8.132981732819596e-05,0.0,0.0,-0.0,0.0,0.0,1.6617435928372552e-05,-0.0,-0.0,0.0,4.2307404118544895e-05,0.0,0.0,0.0,5.552212502257965e-10,0.0,0.0,2.2981850770955867e-06,0.0,0.0007319703663493855,0.0,0.0,0.0,4.318460765813071e-05,0.0,1.9465199555380763e-08,4.0348520307833184e-07,0.0,0.0,0.0,4.286423328130171e-07,0.0,0.0,0.0,0.00025610622333370204,0.00027863897696407545,0.0,0.0,4.8986105138849736e-05,0.0022313345398077703,0.0,0.0,0.0,0.0005065873796834207,4.42790544303753e-06,0.0,0.0,0.0,4.5291128476453025e-05,0.0,0.0,0.0,0.0,-0.0,0.0
AECI,0.0,0.8925672510504312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1782432331672177e-06,0.00040816046395981395,0.0,0.0,7.529832031142663e-05,0.0010495442419812503,0.0,0.0,6.340025132872222e-07,5.058535601046177e-06,5.288777809330438e-06,0.0,0.0,-0.0,0.0,0.0,1.0806113830465745e-06,-0.0,-0.0,0.0,2.7511983602471795e-06,0.0,0.0,0.0,9.293180328434323e-08,0.0,0.0,0.0004496932135830195,0.0,0.0038396577919618587,0.0,0.0,0.0,2.80824182556945e-06,0.0,3.258045500303662e-06,7.895123826789411e-05,0.0,0.0,0.0,7.174528160822636e-05,0.0,0.0,0.0,1.6684917506626123e-05,1.8119549343574377e-05,0.0,0.0,3.1855060583550313e-06,0.00014510093575774723,0.0,0.0,0.0,3.294275310302063e-05,2.8794123506326346e-07,0.0,0.0,0.0,0.008862259751994051,0.0,0.0,0.0,0.0,-0.0,0.0
AVA,0.0,9.397840917299908e-13,0.6690582577995455,2.6893870255238045e-05,2.0999605055127647e-05,0.0,6.302504256232981e-05,0.0,1.8565053015604872e-05,2.020228720249563e-18,6.99836390781103e-16,0.0,0.0,1.291073226627274e-16,1.799560023886987e-15,5.9748431601511545e-06,0.0,1.0870676359500677e-18,8.673420407573877e-18,9.068196213363323e-18,0.0021414742156006107,0.0,-0.0,0.0,0.0,1.852828083375436e-18,-0.0,-0.0,0.0,4.717234766147859e-18,0.0,0.0,0.03819921941918918,1.5934188521918553e-19,0.0,5.1261183355108693e-05,7.710488970428098e-16,0.0,9.881762747085925e-14,0.0,0.001376271598940418,0.0,4.815042115006409e-18,0.0,5.586280409945874e-18,1.353706557001119e-16,0.0006759710116960748,0.0042150012285005764,0.00027698803621446023,1.230152436842057e-16,2.6692523599856872e-06,1.888106383084736e-08,2.3893879180701578e-05,2.860814184459402e-17,3.106797726600902e-17,1.6599738608023486e-05,0.0,5.4619034902655705e-18,2.487916497215184e-16,0.0,1.3391572128033105e-05,1.79500779902751e-11,5.648400437990682e-17,4.937071874839097e-19,1.9064185159671472e-05,6.586878539718734e-06,2.0910517224956042e-05,1.5195327393617395e-14,1.4461632965849943e-07,0.00014807839674384508,0.0,0.0,-0.0,0.0
AZPS,0.0,2.9032839782479045e-08,0.0,0.8308349046574817,0.0,0.0,0.0,0.0,0.04069256639319142,6.241111897414396e-14,2.1620112519774162e-11,0.0,0.0,3.988524860759964e-12,5.5593979843059483e-11,0.05148429235157851,0.0,3.358288439332751e-14,2.6794880576838414e-13,2.8014465247439207e-13,0.0,0.0,-0.0,0.0,0.0,5.723959509688315e-14,-0.0,-0.0,0.0,1.4572998456464536e-13,0.0,0.0,0.0001627580406681285,4.922564092025424e-15,0.0,0.08284048291712479,2.382008728312537e-11,0.0,3.0527824117184955e-09,0.0,0.0010916768108876016,0.0,1.4875155634261834e-13,0.0,1.7257749471307017e-13,4.182018607013903e-12,0.00057998327125596,6.779726367567813e-06,4.0652906835761263e-07,3.80032168251714e-12,0.08246146831854853,0.0005832945098215672,0.0,8.83794060739608e-13,9.59785991556125e-13,0.0,0.0,1.6873510664383907e-13,7.685944217556268e-12,0.0,0.11034495547075036,5.545334752531538e-07,1.7449657467769058e-12,1.5252143337830535e-14,0.1345455829146557,0.01172291916440273,0.0,4.694307017360743e-10,0.0044676460964309375,0.15969811094351585,0.0,0.0,-0.0,0.0
BANC,0.0,1.294044907737406e-17,0.0,3.7031778000281593e-10,0.6668053808236672,0.0,0.0,0.0,0.015923479503132925,2.781773718994713e-23,9.636465712805503e-21,0.0,0.0,1.7777559219561e-21,2.4779217966884065e-20,1.1422438101748663e-06,0.0,1.4968484261930755e-23,1.19429511627777e-22,1.2486541574315047e-22,0.0,0.0,-0.0,0.0,0.0,2.5512697728168257e-23,-0.0,-0.0,0.0,6.495442603735113e-23,0.0,0.0,2.6120189105888407e-09,2.1940736917305396e-24,0.0,6.174544914758753e-06,1.061703329110471e-20,0.0,1.36067899795964e-18,0.0,0.00036486809819089434,0.0,6.630119390502926e-23,0.0,7.692083512901833e-23,1.8639994995375295e-21,9.307849038529252e-09,1.0880429260520504e-10,6.524172998735803e-12,1.693870443907861e-21,3.675453175151148e-11,2.5998465730565677e-13,0.0,3.9392261051874213e-22,4.277935552279097e-22,0.0,0.0,7.520821495414306e-23,3.425760983217601e-21,0.0,2.603461042321903e-06,2.471653566091485e-16,7.777620293814897e-22,6.79814946325423e-24,3.899709980576715e-06,0.04391575142314165,0.0,2.0923354851555422e-19,1.9913087124699105e-12,3.788814534489467e-05,0.0,0.0,-0.0,0.0
BCHA,0.0,3.3996586115084266e-12,0.021022854540435464,9.72882797384903e-05,0.024154442939955795,0.0,0.07249349644260857,0.0,0.006376703906375678,7.308155167183171e-18,2.531650443439856e-15,0.0,0.0,4.670443191809683e-16,6.509888586081148e-15,1.282179024475325e-05,0.0,3.932455212182452e-18,3.137600289185707e-17,3.280410002563242e-17,0.003174110982696537,0.0,-0.0,0.0,0.0,6.702585205178929e-18,-0.0,-0.0,0.0,1.706454486340581e-17,0.0,0.0,0.002100125557619156,5.764175165619099e-19,0.0,0.014352942130556908,2.7892609012994323e-15,0.0,3.574716800980485e-13,0.0,0.002170109026661259,0.0,1.7418361871739795e-17,0.0,2.020830791784646e-17,4.8970185752905e-16,0.002445317697187497,0.015248166501463314,0.028803096479579692,4.450062905065361e-16,9.655991042804052e-06,6.830204066214679e-08,0.027483533131663743,1.034896383510733e-16,1.1238806592278581e-16,0.01909357047302085,0.0,1.9758375779406388e-17,9.000010554447188e-16,0.0,2.8404343511484646e-05,6.493420962739542e-11,2.043302643579979e-16,1.785980318525662e-18,3.89472857960298e-05,0.003261671174877429,0.02405197115989729,5.496892965415655e-14,5.231479813445426e-07,0.00024403203427343797,0.0,0.0,-0.0,0.0
BPAT,0.0,3.745753007241248e-11,0.23163037708863277,0.0010719248843579791,0.26613430235111796,0.0,0.7987352947325803,0.0,0.07025869524880234,8.052145030737648e-17,2.7893792717001382e-14,0.0,0.0,5.145906877722734e-15,7.172612763403199e-14,0.0001412708299736935,0.0,4.332789735713565e-17,3.4570164424608847e-16,3.6143645689863926e-16,0.03497244022827836,0.0,-0.0,0.0,0.0,7.384926416905741e-17,-0.0,-0.0,0.0,1.8801761454202143e-16,0.0,0.0,0.023139239911932723,6.3509837098917e-18,0.0,0.1581411026574775,3.073215167445023e-14,0.0,3.9386325915140426e-12,0.0,0.023910319657217263,0.0,1.9191597986168535e-16,0.0,2.226556804800601e-16,5.39554824499624e-15,0.02694257619542634,0.16800470886819188,0.31735329215416436,4.903091284705598e-15,0.00010638996916937399,7.525537221439806e-07,0.302814307675048,1.1402516204409222e-15,1.23829473489844e-15,0.21037347331341968,0.0,2.1769831607025957e-16,9.916235849506553e-15,0.0,0.000312959821220547,7.154468691688136e-10,2.2513163515844172e-15,1.967797921339785e-17,0.00042912224304084764,0.03593718078212672,0.265005265520737,6.056491462403979e-13,5.764058537289551e-06,0.002688751520957426,0.0,0.0,-0.0,0.0
CHPD,0.0,1.4438766652981171e-12,0.014339257530653285,4.1319524391619505e-05,0.01020438889530175,0.0,0.030625911428363732,1.0,0.0026940357294257264,3.1038630398220175e-18,1.0752229613880386e-15,0.0,0.0,1.9835944463442325e-16,2.7648294423782106e-15,5.465398414382227e-06,0.0,1.6701619094868128e-18,1.3325772850403265e-17,1.3932303200320504e-17,0.0013583955256105582,0.0,-0.0,0.0,0.0,2.8466700574491668e-18,-0.0,-0.0,0.0,7.247521280165288e-18,0.0,0.0,0.0011988323183133374,2.448115816145293e-19,0.0,0.00606392147628333,1.1846332791126085e-15,0.0,1.518226023199054e-13,0.0,0.0009280053790793198,0.0,7.397791698609553e-18,0.0,8.582715967116265e-18,2.079823787735005e-16,0.0010385563862963783,0.0064760821297619635,0.012170334196389793,1.8899962384404544e-16,4.1010177021410744e-06,2.9008713513313444e-08,0.011610810524157772,4.395331737410995e-17,4.773258858832764e-17,0.008066351146697648,0.0,8.391624275302817e-18,3.8224147515909644e-16,0.0,1.210886348615196e-05,2.757835440981901e-11,8.678156674966992e-17,7.585277233047582e-19,1.660908072823775e-05,0.0013779701051601315,0.01016109823042862,2.3345977909480345e-14,2.2218735734352057e-07,0.0001043010671241853,0.0,0.0,-0.0,0.0
CISO,0.0,6.336679322169549e-16,0.0,1.813372167491853e-08,0.0,0.0,0.0,0.0,0.7797409711299491,1.3621790015718278e-21,4.71878469255734e-19,0.0,0.0,8.705315498068977e-20,1.2133887871389797e-18,5.593339682056853e-05,0.0,7.3297676255022565e-22,5.8482245265487564e-21,6.11440988842627e-21,0.0,0.0,-0.0,0.0,0.0,1.2493058253249728e-21,-0.0,-0.0,0.0,3.180688443602277e-21,0.0,0.0,1.2790534641323944e-07,1.0743940423222474e-22,0.0,0.0003023551257859328,5.198949040814976e-19,0.0,6.662973146393222e-17,0.0,0.017866861646773247,0.0,3.2466369748151536e-21,0.0,3.766659584158525e-21,9.127633063296063e-20,4.557867673962727e-07,5.327928783554984e-09,3.1947571439101325e-10,8.294545075033202e-20,1.7997959727151018e-09,1.2730929136845672e-11,0.0,1.9289603055380946e-20,2.0948195532949612e-20,0.0,0.0,3.682795996550601e-21,1.6775266959634198e-19,0.0,0.0001274862847055297,1.2103193598747008e-14,3.8085452364767635e-20,3.328917943670208e-22,0.00019096100489731388,0.22463170018341969,0.0,1.0245748756129865e-17,9.751040838626531e-11,0.0018553067650652795,0.0,0.0,-0.0,0.0
CPLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9732829961306819,0.0010760912937770302,0.0,0.0,0.001023820662646209,1.219938309185487e-06,0.0,0.0,2.8752430209349278e-08,2.2940791050886235e-07,2.3984954581187675e-07,0.0,0.0,-0.0,0.0,0.0,4.9006435658085935e-08,-0.0,-0.0,0.0,1.2476865183852493e-07,0.0,0.0,0.0,7.530176919447168e-06,0.0,0.0,5.227011465424792e-07,0.0,0.00016647995565677805,0.0,0.0,0.0,1.2735561044074582e-07,0.0,0.0002639963732741715,9.176901389008422e-08,0.0,0.0,0.0,0.005813452925178777,0.0,0.0,0.0,0.032884981689773794,8.217334584759961e-07,0.0,0.0,1.4446479107696986e-07,6.580422697466275e-06,0.0,0.0,0.0,1.493975480613469e-06,1.3058324047683509e-08,0.0,0.0,0.0,1.0301052347256226e-05,0.0,0.0,0.0,0.0,-0.0,0.0
