,AEC,AECI,AVA,AZPS,BANC,BCHA,BPAT,CHPD,CISO,CPLE,CPLW,DEAA,DOPD,DUK,EEI,EPE,ERCO,FMPP,FPC,FPL,GCPD,GRID,GRIF,GRIS,GRMA,GVL,GWA,HGMA,HQT,HST,IESO,IID,IPCO,ISNE,JEA,LDWP,LGEE,MHEB,MISO,NBSO,NEVP,NEWL,NSB,NWMT,NYIS,OVEC,PACE,PACW,PGE,PJM,PNM,PSCO,PSEI,SC,SCEG,SCL,SEC,SEPA,SOCO,SPA,SRP,SWPP,TAL,TEC,TEPC,TIDC,TPWR,TVA,WACM,WALC,WAUE,WAUW,WWA,YAD
AEC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.143522281929041e-05,0.0,0.0,0.0,0.0,7.778919652390279e-05,8.132981732819596e-05,0.0,0.0,0.0,0.0,0.0,1.6617435928372552e-05,0.0,0.0,0.0,4.2307404118544895e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007319703663493855,0.0,0.0,0.0,4.318460765813071e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025610622333370204,0.00027863897696407545,0.0,0.0,4.8986105138849736e-05,0.0022313345398077703,0.0,0.0,0.0,0.0005065873796834207,0.0,0.0,0.0,0.0,4.5291128476453025e-05,0.0,0.0,0.0,0.0,0.0,0.0
AECI,0.0,0.8925672510504312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040816046395981395,0.0,0.0,7.529832031142663e-05,0.0010495442419812503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004496932135830195,0.0,0.0038396577919618587,0.0,0.0,0.0,0.0,0.0,0.0,7.895123826789411e-05,0.0,0.0,0.0,7.174528160822636e-05,0.0,0.0,0.0,1.6684917506626123e-05,1.8119549343574377e-05,0.0,0.0,0.0,0.00014510093575774723,0.0,0.0,0.0,3.294275310302063e-05,0.0,0.0,0.0,0.0,0.008862259751994051,0.0,0.0,0.0,0.0,0.0,0.0
AVA,0.0,0.0,0.6690582577995455,2.6893870255238045e-05,2.0999605055127647e-05,0.0,6.302504256232981e-05,0.0,1.8565053015604872e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021414742156006107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03819921941918918,0.0,0.0,5.1261183355108693e-05,0.0,0.0,0.0,0.0,0.001376271598940418,0.0,0.0,0.0,0.0,0.0,0.0006759710116960748,0.0042150012285005764,0.00027698803621446023,0.0,0.0,0.0,2.3893879180701578e-05,0.0,0.0,1.6599738608023486e-05,0.0,0.0,0.0,0.0,1.3391572128033105e-05,0.0,0.0,0.0,1.9064185159671472e-05,0.0,2.0910517224956042e-05,0.0,0.0,0.00014807839674384508,0.0,0.0,0.0,0.0
AZPS,0.0,0.0,0.0,0.8308349046574817,0.0,0.0,0.0,0.0,0.04069256639319142,0.0,0.0,0.0,0.0,0.0,0.0,0.05148429235157851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001627580406681285,0.0,0.0,0.08284048291712479,0.0,0.0,0.0,0.0,0.0010916768108876016,0.0,0.0,0.0,0.0,0.0,0.00057998327125596,0.0,0.0,0.0,0.08246146831854853,0.0005832945098215672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11034495547075036,0.0,0.0,0.0,0.1345455829146557,0.01172291916440273,0.0,0.0,0.0044676460964309375,0.15969811094351585,0.0,0.0,0.0,0.0
BANC,0.0,0.0,0.0,0.0,0.6668053808236672,0.0,0.0,0.0,0.015923479503132925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036486809819089434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04391575142314165,0.0,0.0,0.0,3.788814534489467e-05,0.0,0.0,0.0,0.0
BCHA,0.0,0.0,0.021022854540435464,9.72882797384903e-05,0.024154442939955795,0.0,0.07249349644260857,0.0,0.006376703906375678,0.0,0.0,0.0,0.0,0.0,0.0,1.282179024475325e-05,0.0,0.0,0.0,0.0,0.003174110982696537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002100125557619156,0.0,0.0,0.014352942130556908,0.0,0.0,0.0,0.0,0.002170109026661259,0.0,0.0,0.0,0.0,0.0,0.002445317697187497,0.015248166501463314,0.028803096479579692,0.0,0.0,0.0,0.027483533131663743,0.0,0.0,0.01909357047302085,0.0,0.0,0.0,0.0,2.8404343511484646e-05,0.0,0.0,0.0,3.89472857960298e-05,0.003261671174877429,0.02405197115989729,0.0,0.0,0.00024403203427343797,0.0,0.0,0.0,0.0
BPAT,0.0,0.0,0.23163037708863277,0.0010719248843579791,0.26613430235111796,0.0,0.7987352947325803,0.0,0.07025869524880234,0.0,0.0,0.0,0.0,0.0,0.0,0.0001412708299736935,0.0,0.0,0.0,0.0,0.03497244022827836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023139239911932723,0.0,0.0,0.1581411026574775,0.0,0.0,0.0,0.0,0.023910319657217263,0.0,0.0,0.0,0.0,0.0,0.02694257619542634,0.16800470886819188,0.31735329215416436,0.0,0.00010638996916937399,0.0,0.302814307675048,0.0,0.0,0.21037347331341968,0.0,0.0,0.0,0.0,0.000312959821220547,0.0,0.0,0.0,0.00042912224304084764,0.03593718078212672,0.265005265520737,0.0,0.0,0.002688751520957426,0.0,0.0,0.0,0.0
CHPD,0.0,0.0,0.014339257530653285,4.1319524391619505e-05,0.01020438889530175,0.0,0.030625911428363732,1.0,0.0026940357294257264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013583955256105582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011988323183133374,0.0,0.0,0.00606392147628333,0.0,0.0,0.0,0.0,0.0009280053790793198,0.0,0.0,0.0,0.0,0.0,0.0010385563862963783,0.0064760821297619635,0.012170334196389793,0.0,0.0,0.0,0.011610810524157772,0.0,0.0,0.008066351146697648,0.0,0.0,0.0,0.0,1.210886348615196e-05,0.0,0.0,0.0,1.660908072823775e-05,0.0013779701051601315,0.01016109823042862,0.0,0.0,0.0001043010671241853,0.0,0.0,0.0,0.0
CISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7797409711299491,0.0,0.0,0.0,0.0,0.0,0.0,5.593339682056853e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003023551257859328,0.0,0.0,0.0,0.0,0.017866861646773247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001274862847055297,0.0,0.0,0.0,0.00019096100489731388,0.22463170018341969,0.0,0.0,0.0,0.0018553067650652795,0.0,0.0,0.0,0.0
CPLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9732829961306819,0.0010760912937770302,0.0,0.0,0.001023820662646209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016647995565677805,0.0,0.0,0.0,0.0,0.0,0.0002639963732741715,0.0,0.0,0.0,0.0,0.005813452925178777,0.0,0.0,0.0,0.032884981689773794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0301052347256226e-05,0.0,0.0,0.0,0.0,0.0,0.0
