,BAA1_1_2,BAA2_1_2,Transacting BAAs_1_2,Exchange_1_2,BAA2_2_1,BAA1_2_1,Transacting BAAs_2_1,Exchange_2_1,Exchange_1_2_abs,Exchange_2_1_abs,Status_Check,Delta,Percent_Diff_Avg,Exchange_mean,Final_Exchange,Export_BAA,Import_BAA
34,AEC,MISO,AEC-MISO,525715.0,AEC,MISO,MISO-AEC,-525480.0,525715.0,525480.0,keep,235.0,0.00044711021598187184,525597.5,525597.5,AEC,MISO
52,AEC,SOCO,AEC-SOCO,582387.0,AEC,SOCO,SOCO-AEC,-555460.0,582387.0,555460.0,keep,26927.0,0.047356258390403416,568923.5,568923.5,AEC,SOCO
102,AECI,MISO,AECI-MISO,2769083.0,AECI,MISO,MISO-AECI,-2758147.0,2769083.0,2758147.0,keep,10936.0,0.003957151344042564,2763615.0,2763615.0,AECI,MISO
121,AECI,SPA,AECI-SPA,-1478802.0,AECI,SPA,SPA-AECI,1478802.0,1478802.0,1478802.0,keep,0.0,0.0,1478802.0,1478802.0,SPA,AECI
123,AECI,SWPP,AECI-SWPP,-1396477.0,AECI,SWPP,SWPP-AECI,1384046.0,1396477.0,1384046.0,keep,12431.0,0.00894166203262009,1390261.5,1390261.5,SWPP,AECI
129,AECI,TVA,AECI-TVA,1617800.0,AECI,TVA,TVA-AECI,-1615023.0,1617800.0,1615023.0,keep,2777.0,0.001718004387561256,1616411.5,1616411.5,AECI,TVA
141,AVA,BPAT,AVA-BPAT,-5609709.0,AVA,BPAT,BPAT-AVA,3844460.0,5609709.0,3844460.0,keep,1765249.0,0.3869222103947907,4727084.5,3844460.0,BPAT,AVA
142,AVA,CHPD,AVA-CHPD,-90702.0,AVA,CHPD,CHPD-AVA,90704.0,90702.0,90704.0,keep,-2.0,2.2049987323913278e-05,90703.0,90703.0,CHPD,AVA
155,AVA,GCPD,AVA-GCPD,26768.0,AVA,GCPD,GCPD-AVA,-26768.0,26768.0,26768.0,keep,0.0,0.0,26768.0,26768.0,AVA,GCPD
165,AVA,IPCO,AVA-IPCO,1108770.0,AVA,IPCO,IPCO-AVA,-1104265.0,1108770.0,1104265.0,keep,4505.0,0.0040713487753319955,1106517.5,1106517.5,AVA,IPCO
173,AVA,NWMT,AVA-NWMT,-556532.0,AVA,NWMT,NWMT-AVA,557598.0,556532.0,557598.0,keep,-1066.0,0.0019136024986108335,557065.0,557065.0,NWMT,AVA
177,AVA,PACW,AVA-PACW,138704.0,AVA,PACW,PACW-AVA,-138704.0,138704.0,138704.0,keep,0.0,0.0,138704.0,138704.0,AVA,PACW
211,AZPS,CISO,AZPS-CISO,8575666.0,AZPS,CISO,CISO-AZPS,-8749774.0,8575666.0,8749774.0,keep,-174108.0,0.020100567092041277,8662720.0,8662720.0,AZPS,CISO
227,AZPS,GRMA,AZPS-GRMA,-6969495.0,AZPS,GRMA,GRMA-AZPS,6976499.0,6969495.0,6976499.0,keep,-7004.0,0.0010044464046959911,6972997.0,6972997.0,GRMA,AZPS
232,AZPS,IID,AZPS-IID,-174349.0,AZPS,IID,IID-AZPS,170472.0,174349.0,170472.0,keep,3877.0,0.022489872596030358,172410.5,172410.5,IID,AZPS
236,AZPS,LDWP,AZPS-LDWP,5597768.0,AZPS,LDWP,LDWP-AZPS,-38322.0,5597768.0,38322.0,keep,5559446.0,73.03253548584154,2818045.0,5597768.0,AZPS,LDWP
